Hue,Saturation,Value,Contrast,Energy,Edge_Ratio,Shape_Area,Shape_Perimeter,Circularity,Class
16.69395,73.4808,139.17915,1642.47567839196,0.007239974926645889,0.348325,11927.5,7350.785702466965,0.0027739061623602962,Chia
17.099325,75.8892,126.050025,472.4465326633165,0.009225024156067739,0.28585,3639.0,4761.834140539169,0.002016709716685299,Chia
15.30715,99.947975,121.091625,1645.4109798994975,0.007279259162108649,0.357425,7602.0,6661.18058514595,0.002152956792726663,Chia
14.6929,99.24345,123.468575,1545.591834170854,0.007380158756020021,0.34295,9071.5,6615.006927728653,0.00260512377406557,Chia
15.260075,99.0694,130.101575,482.66211055276386,0.009204522763953522,0.247425,779.0,1215.082382440567,0.0066303411336574745,Chia
16.67925,97.208525,98.19475,1662.2366582914572,0.007806654368419867,0.3724,8470.0,8746.384892940521,0.0013913490775229202,Chia
12.2264,47.167775,112.69475,1269.5051256281408,0.007979770545646197,0.359875,1017.0,1340.0773293972015,0.007116576082203129,Chia
18.199775,83.991425,124.353475,2220.213793969849,0.006774374449951215,0.376225,28054.0,6513.925751447678,0.00830843159754348,Chia
11.34595,62.0458,112.765125,655.3983919597991,0.00979712648079141,0.3598,6830.0,7368.993854522705,0.0015805716176123478,Chia
37.454375,40.50205,142.2648,587.3568592964824,0.07683332867278055,0.16705,830.0,1853.547453045845,0.003035851600802763,Chia
12.842675,103.886,81.921825,1094.7149748743723,0.010430222949147349,0.346275,1937.0,1982.8022863864899,0.006191283098056678,Chia
13.099875,69.14805,81.4366,742.0320100502513,0.011109179349144986,0.302425,870.5,1296.3788454532623,0.006509007447169768,Chia
13.948275,88.95595,130.21995,1735.525577889448,0.009400897393130445,0.272125,1006.0,1399.9595799446106,0.006450254511485709,Chia
14.21385,110.544575,132.4959,1593.3472613065326,0.011168334642840776,0.193275,759.5,2358.1475224494934,0.0017163098750743544,Chia
20.5314,49.432475,127.661425,1785.8971356783918,0.006790500251402794,0.365925,8376.0,9357.65400505066,0.0012020224142019699,Chia
18.657675,72.60105,157.496875,2175.0282914572863,0.007944110154022218,0.328925,8999.5,7349.26088309288,0.00209382758435083,Chia
16.577725,88.4237,139.616725,3174.538165829146,0.006885568257304868,0.356875,7574.5,6937.624240756035,0.0019776174550173754,Chia
17.359675,74.642075,129.86525,608.9497989949748,0.008819775489538637,0.302525,3479.5,3261.406526207924,0.004110709938815029,Chia
16.653025,75.51285,140.0802,2300.621532663317,0.006892189250875375,0.36005,21031.5,9230.13214790821,0.00310216057857993,Chia
15.003325,140.003575,116.705,2018.1345728643219,0.009957074355145498,0.295675,892.5,2118.2408870458603,0.002499582039495898,Chia
38.0297,18.262325,175.82635,280.89756281407034,0.07677598315623398,0.0425,88.0,211.2792181968689,0.02477302117305624,Chia
32.607875,54.46185,90.17825,898.5880653266332,0.009547209718221443,0.334625,3629.0,4627.300089478493,0.0021298131379805596,Chia
27.187525,57.8163,121.36235,978.0773366834171,0.01890096982797094,0.25425,3258.0,2160.2236399650574,0.008773310809104953,Chia
23.87895,43.277475,127.806575,1794.1947738693468,0.0070728531645707585,0.3989,4765.0,4267.025926828384,0.0032886844561184625,Chia
16.6426,71.085025,104.52365,813.228216080402,0.00919958327952172,0.3612,5170.0,7975.919822335243,0.001021265939600261,Chia
21.724225,64.323825,96.36875,799.0104020100505,0.00972806437498885,0.349475,5269.0,6673.440469622612,0.001486751828158996,Chia
19.278325,89.921275,69.87605,774.2783165829147,0.01297955757822241,0.267425,289.0,171.68123924732208,0.12321455922435531,Chia
14.74265,78.0791,119.289175,752.7917839195982,0.0091059865991911,0.273975,880.0,701.4112479686737,0.02247745226872789,Chia
15.055625,99.549475,86.691225,704.6839195979901,0.012078268651668512,0.27665,339.0,71.94112479686737,0.8231047630026583,Chia
20.234575,79.797225,97.190525,458.5368592964825,0.010076113082290205,0.313675,770.5,1287.0062621831894,0.00584549356782505,Chia
16.65095,38.477575,94.65535,328.1144723618091,0.012687073910002605,0.28985,314.5,329.60511910915375,0.036378318213920256,Chia
30.283775,36.00675,170.585875,1118.8255276381913,0.046453760013571564,0.130325,1463.5,3287.406529188156,0.0017017500186274125,Chia
12.352575,79.697775,85.502725,912.8356783919597,0.0094470858268801,0.367725,2809.5,4009.9405802488327,0.0021956495645048912,Chia
59.29535,33.1018,166.081525,2156.570175879397,0.040177014669646065,0.2025,741.0,1309.1067678928375,0.005433478285695765,Chia
22.276525,74.698575,153.047575,3045.8491708542715,0.024634791099209765,0.252225,732.5,894.2468163967133,0.011510725245010586,Chia
31.144525,31.455475,172.7016,981.1027889447238,0.03606578909299549,0.1146,157.0,460.84270668029785,0.009289751119069644,Basil
70.3664,18.156875,160.849025,305.6427638190955,0.040392016376943576,0.031625,48.0,340.8771973848343,0.00519104986036886,Basil
62.812775,25.191125,86.0162,801.9975376884424,0.014036514859475187,0.28625,519.0,1540.5281211137772,0.0027481343528492496,Basil
72.053,26.879825,52.631475,402.24997487437184,0.015474031728606829,0.302675,584.5,492.9432119131088,0.03022738645411093,Basil
51.903325,20.71535,108.93035,912.2607788944723,0.016148401685555622,0.283725,1615.0,1160.5382252931595,0.015068273398560452,Basil
72.514325,35.5743,81.3532,1600.3287688442213,0.012761840546211036,0.291875,360.5,515.085347533226,0.01707484387754004,Basil
66.707925,20.686425,52.95855,34.91238693467337,0.02791543788717122,0.0194,49.5,30.727921843528748,0.658792557004659,Basil
